   53291  0.2077  0.3802        -0.4370
   53292  0.2078  0.3779        -0.4379
   53293  0.2078  0.3756        -0.4388
   53294  0.2079  0.3733        -0.4395
   53295  0.2079  0.3710        -0.4399
   53296  0.2078  0.3688        -0.4400
   53297  0.2077  0.3665        -0.4401
   53298  0.2076  0.3642        -0.4400
   53299  0.2075  0.3619        -0.4401
   53300  0.2073  0.3596        -0.4403
   53301  0.2071  0.3574        -0.4408
   53302  0.2069  0.3551        -0.4415
   53303  0.2066  0.3528        -0.4423
   53304  0.2063  0.3506        -0.4433
   53305  0.2059  0.3483        -0.4441
   53306  0.2055  0.3461        -0.4449
   53307  0.2051  0.3438        -0.4454
   53308  0.2047  0.3416        -0.4457
   53309  0.2042  0.3394        -0.4458
   53310  0.2037  0.3372        -0.4457
   53311  0.2032  0.3350        -0.4456
   53312  0.2026  0.3328        -0.4454
   53313  0.2020  0.3306        -0.4453
   53314  0.2014  0.3284        -0.4454
   53315  0.2008  0.3262        -0.4456
   53316  0.2001  0.3241        -0.4460
   53317  0.1994  0.3219        -0.4467
   53318  0.1986  0.3198        -0.4475
   53319  0.1979  0.3177        -0.4485
   53320  0.1971  0.3155        -0.4494
   53321  0.1963  0.3134        -0.4502
   53322  0.1954  0.3113        -0.4508
   53323  0.1945  0.3093        -0.4511
   53324  0.1936  0.3072        -0.4512
   53325  0.1927  0.3052        -0.4511
   53326  0.1918  0.3031        -0.4512
   53327  0.1908  0.3011        -0.4513
   53328  0.1898  0.2991        -0.4517
   53329  0.1888  0.2971        -0.4524
   53330  0.1877  0.2952        -0.4532
   53331  0.1867  0.2932        -0.4541
   53332  0.1856  0.2913        -0.4549
   53333  0.1845  0.2894        -0.4556
   53334  0.1833  0.2875        -0.4562
   53335  0.1822  0.2856        -0.4566
   53336  0.1810  0.2837        -0.4568
   53337  0.1798  0.2819        -0.4568
   53338  0.1785  0.2800        -0.4567
   53339  0.1773  0.2782        -0.4567
   53340  0.1760  0.2764        -0.4566
   53341  0.1747  0.2747        -0.4567
   53342  0.1734  0.2729        -0.4568
   53343  0.1721  0.2711        -0.4571
   53344  0.1707  0.2694        -0.4576
   53345  0.1693  0.2677        -0.4581
   53346  0.1678  0.2660        -0.4588
   53347  0.1664  0.2643        -0.4594
   53348  0.1649  0.2626        -0.4599
   53349  0.1634  0.2610        -0.4603
   53350  0.1619  0.2594        -0.4604
   53351  0.1604  0.2578        -0.4602
   53352  0.1589  0.2562        -0.4599
   53353  0.1573  0.2547        -0.4596
   53354  0.1557  0.2532        -0.4595
   53355  0.1542  0.2517        -0.4596
   53356  0.1526  0.2502        -0.4599
   53357  0.1509  0.2487        -0.4605
   53358  0.1493  0.2473        -0.4611
   53359  0.1477  0.2459        -0.4616
   53360  0.1460  0.2445        -0.4620
   53361  0.1443  0.2432        -0.4621
   53362  0.1426  0.2418        -0.4620
   53363  0.1409  0.2405        -0.4617
   53364  0.1392  0.2393        -0.4611
   53365  0.1375  0.2380        -0.4603
   53366  0.1357  0.2368        -0.4595
   53367  0.1340  0.2356        -0.4588
   53368  0.1322  0.2344        -0.4581
   53369  0.1304  0.2333        -0.4575
   53370  0.1286  0.2321        -0.4571
   53371  0.1268  0.2310        -0.4569
   53372  0.1250  0.2300        -0.4569
   53373  0.1232  0.2289        -0.4571
   53374  0.1213  0.2279        -0.4574
   53375  0.1195  0.2269        -0.4577
   53376  0.1176  0.2260        -0.4579
   53377  0.1157  0.2250        -0.4581
   53378  0.1139  0.2241        -0.4580
   53379  0.1120  0.2233        -0.4578
   53380  0.1101  0.2224        -0.4575
   53381  0.1082  0.2216        -0.4573
   53382  0.1063  0.2208        -0.4574
   53383  0.1043  0.2201        -0.4577
   53384  0.1024  0.2193        -0.4582
   53385  0.1005  0.2186        -0.4587
   53386  0.0985  0.2179        -0.4593
   53387  0.0966  0.2173        -0.4598
   53388  0.0946  0.2167        -0.4600
   53389  0.0926  0.2161        -0.4601
   53390  0.0907  0.2155        -0.4599
   53391  0.0887  0.2150        -0.4595
   53392  0.0867  0.2145        -0.4590
   53393  0.0847  0.2140        -0.4584
   53394  0.0827  0.2136        -0.4579
   53395  0.0807  0.2132        -0.4576
   53396  0.0787  0.2128        -0.4574
   53397  0.0767  0.2125        -0.4574
   53398  0.0747  0.2122        -0.4576
   53399  0.0727  0.2119        -0.4580
   53400  0.0707  0.2116        -0.4584
   53401  0.0686  0.2114        -0.4589
   53402  0.0666  0.2112        -0.4594
   53403  0.0646  0.2110        -0.4598
   53404  0.0626  0.2109        -0.4599
   53405  0.0606  0.2108        -0.4599
   53406  0.0585  0.2107        -0.4597
   53407  0.0565  0.2106        -0.4594
   53408  0.0545  0.2106        -0.4592
   53409  0.0525  0.2106        -0.4593
   53410  0.0504  0.2107        -0.4596
   53411  0.0484  0.2108        -0.4602
   53412  0.0464  0.2109        -0.4611
   53413  0.0444  0.2110        -0.4620
   53414  0.0424  0.2112        -0.4629
   53415  0.0404  0.2114        -0.4637
   53416  0.0384  0.2116        -0.4642
   53417  0.0364  0.2118        -0.4644
   53418  0.0344  0.2121        -0.4644
   53419  0.0324  0.2124        -0.4642
   53420  0.0304  0.2128        -0.4639
   53421  0.0284  0.2132        -0.4637
   53422  0.0265  0.2136        -0.4635
   53423  0.0245  0.2140        -0.4635
   53424  0.0225  0.2145        -0.4637
   53425  0.0206  0.2149        -0.4641
   53426  0.0187  0.2155        -0.4648
   53427  0.0167  0.2160        -0.4657
   53428  0.0148  0.2166        -0.4667
   53429  0.0129  0.2172        -0.4677
   53430  0.0110  0.2178        -0.4686
   53431  0.0091  0.2185        -0.4694
   53432  0.0072  0.2192        -0.4700
   53433  0.0054  0.2199        -0.4704
   53434  0.0035  0.2207        -0.4706
   53435  0.0017  0.2214        -0.4709
   53436 -0.0002  0.2222        -0.4712
   53437 -0.0020  0.2231        -0.4717
   53438 -0.0038  0.2239        -0.4725
   53439 -0.0056  0.2248        -0.4736
   53440 -0.0073  0.2257        -0.4749
   53441 -0.0091  0.2267        -0.4762
   53442 -0.0108  0.2276        -0.4774
   53443 -0.0125  0.2286        -0.4784
   53444 -0.0142  0.2296        -0.4793
   53445 -0.0159  0.2307        -0.4799
   53446 -0.0176  0.2317        -0.4804
   53447 -0.0192  0.2328        -0.4808
   53448 -0.0209  0.2340        -0.4812
   53449 -0.0225  0.2351        -0.4815
   53450 -0.0241  0.2363        -0.4820
   53451 -0.0256  0.2374        -0.4826
   53452 -0.0272  0.2387        -0.4834
   53453 -0.0287  0.2399        -0.4844
   53454 -0.0302  0.2411        -0.4855
   53455 -0.0317  0.2424        -0.4867
   53456 -0.0331  0.2437        -0.4880
   53457 -0.0346  0.2451        -0.4892
   53458 -0.0360  0.2464        -0.4902
   53459 -0.0374  0.2478        -0.4911
   53460 -0.0387  0.2491        -0.4917
   53461 -0.0400  0.2506        -0.4922
   53462 -0.0413  0.2520        -0.4926
   53463 -0.0426  0.2534        -0.4932
   53464 -0.0439  0.2549        -0.4939
   53465 -0.0451  0.2564        -0.4950
   53466 -0.0463  0.2579        -0.4964
   53467 -0.0475  0.2594        -0.4980
   53468 -0.0486  0.2609        -0.4996
   53469 -0.0497  0.2625        -0.5010
   53470 -0.0508  0.2640        -0.5023
   53471 -0.0519  0.2656        -0.5032
   53472 -0.0529  0.2672        -0.5038
   53473 -0.0539  0.2688        -0.5042
   53474 -0.0548  0.2705        -0.5044
   53475 -0.0558  0.2721        -0.5045
   53476 -0.0567  0.2738        -0.5046
   53477 -0.0575  0.2754        -0.5048
   53478 -0.0584  0.2771        -0.5051
   53479 -0.0592  0.2788        -0.5055
   53480 -0.0599  0.2805        -0.5060
   53481 -0.0607  0.2822        -0.5067
   53482 -0.0614  0.2840        -0.5075
   53483 -0.0621  0.2857        -0.5083
   53484 -0.0627  0.2874        -0.5089
   53485 -0.0633  0.2892        -0.5094
   53486 -0.0639  0.2910        -0.5097
   53487 -0.0644  0.2927        -0.5097
   53488 -0.0649  0.2945        -0.5095
   53489 -0.0654  0.2963        -0.5092
   53490 -0.0658  0.2981        -0.5091
   53491 -0.0662  0.2999        -0.5091
   53492 -0.0666  0.3017        -0.5094
   53493 -0.0669  0.3035        -0.5100
   53494 -0.0672  0.3053        -0.5108
   53495 -0.0675  0.3071        -0.5117
   53496 -0.0677  0.3090        -0.5126
   53497 -0.0679  0.3108        -0.5133
   53498 -0.0681  0.3126        -0.5138
   53499 -0.0682  0.3145        -0.5139
   53500 -0.0683  0.3163        -0.5139
   53501 -0.0684  0.3181        -0.5136
   53502 -0.0684  0.3199        -0.5131
   53503 -0.0684  0.3218        -0.5127
   53504 -0.0683  0.3236        -0.5123
   53505 -0.0682  0.3254        -0.5120
   53506 -0.0681  0.3273        -0.5118
   53507 -0.0680  0.3291        -0.5117
   53508 -0.0678  0.3309        -0.5118
   53509 -0.0676  0.3327        -0.5121
   53510 -0.0673  0.3345        -0.5125
   53511 -0.0670  0.3363        -0.5128
   53512 -0.0667  0.3381        -0.5131
   53513 -0.0663  0.3399        -0.5132
   53514 -0.0660  0.3417        -0.5131
   53515 -0.0655  0.3435        -0.5127
   53516 -0.0651  0.3453        -0.5121
   53517 -0.0646  0.3471        -0.5115
