CMBODY             =                            4
CMBODY_RADIUS      =                     3397.515  KM
GRAPH CBF          =                            F
   JULIAN DATE (day)              X (km)              Y (km)              Z (km)
      2458262.852904       -15310134.171      -218434644.873        -4201091.002
      2458262.952904       -15093404.066      -218431202.929        -4206337.387
      2458263.052904       -14876659.732      -218427554.938        -4211579.803
      2458263.152904       -14659901.369      -218423700.852        -4216818.245
      2458263.252904       -14443129.179      -218419640.623        -4222052.707
      2458263.352904       -14226343.363      -218415374.203        -4227283.183
      2458263.452904       -14009544.122      -218410901.543        -4232509.667
      2458263.552904       -13792731.658      -218406222.597        -4237732.152
      2458263.652904       -13575906.171      -218401337.316        -4242950.634
      2458263.752904       -13359067.865      -218396245.654        -4248165.106
      2458263.852904       -13142216.939      -218390947.564        -4253375.561
      2458263.952904       -12925353.597      -218385442.998        -4258581.995
      2458264.052904       -12708478.040      -218379731.910        -4263784.402
      2458264.152904       -12491590.470      -218373814.254        -4268982.774
      2458264.252904       -12274691.089      -218367689.982        -4274177.107
      2458264.352904       -12057780.101      -218361359.050        -4279367.395
      2458264.452904       -11840857.706      -218354821.412        -4284553.631
      2458264.552904       -11623924.108      -218348077.021        -4289735.810
      2458264.652904       -11406979.510      -218341125.833        -4294913.925
      2458264.752904       -11190024.113      -218333967.801        -4300087.971
      2458264.852904       -10973058.122      -218326602.882        -4305257.942
      2458264.952904       -10756081.738      -218319031.030        -4310423.832
      2458265.052904       -10539095.166      -218311252.200        -4315585.635
      2458265.152904       -10322098.608      -218303266.349        -4320743.345
      2458265.252904       -10105092.268      -218295073.431        -4325896.957
      2458265.352904        -9888076.348      -218286673.404        -4331046.463
      2458265.452904        -9671051.053      -218278066.222        -4336191.859
      2458265.552904        -9454016.587      -218269251.843        -4341333.138
      2458265.652904        -9236973.152      -218260230.223        -4346470.295
      2458265.752904        -9019920.953      -218251001.318        -4351603.324
      2458265.852904        -8802860.195      -218241565.086        -4356732.218
      2458265.952904        -8585791.080      -218231921.485        -4361856.972
      2458266.052904        -8368713.814      -218222070.470        -4366977.580
      2458266.152904        -8151628.600      -218212012.001        -4372094.036
      2458266.252904        -7934535.643      -218201746.034        -4377206.334
      2458266.352904        -7717435.147      -218191272.529        -4382314.468
      2458266.452904        -7500327.318      -218180591.442        -4387418.432
      2458266.552904        -7283212.360      -218169702.732        -4392518.221
      2458266.652904        -7066090.478      -218158606.359        -4397613.829
      2458266.752904        -6848961.877      -218147302.281        -4402705.249
      2458266.852904        -6631826.761      -218135790.456        -4407792.476
      2458266.952904        -6414685.337      -218124070.845        -4412875.504
      2458267.052904        -6197537.809      -218112143.407        -4417954.326
      2458267.152904        -5980384.383      -218100008.101        -4423028.938
      2458267.252904        -5763225.265      -218087664.887        -4428099.333
      2458267.352904        -5546060.660      -218075113.725        -4433165.505
      2458267.452904        -5328890.773      -218062354.576        -4438227.449
      2458267.552904        -5111715.812      -218049387.400        -4443285.158
      2458267.652904        -4894535.981      -218036212.158        -4448338.627
      2458267.752904        -4677351.486      -218022828.810        -4453387.850
      2458267.852904        -4460162.535      -218009237.318        -4458432.821
      2458267.952904        -4242969.333      -217995437.644        -4463473.533
      2458268.052904        -4025772.086      -217981429.748        -4468509.982
      2458268.152904        -3808571.002      -217967213.593        -4473542.161
      2458268.252904        -3591366.286      -217952789.140        -4478570.065
      2458268.352904        -3374158.146      -217938156.352        -4483593.687
      2458268.452904        -3156946.788      -217923315.190        -4488613.022
      2458268.552904        -2939732.419      -217908265.619        -4493628.064
      2458268.652904        -2722515.246      -217893007.599        -4498638.807
      2458268.752904        -2505295.477      -217877541.095        -4503645.245
      2458268.852904        -2288073.319      -217861866.070        -4508647.372
      2458268.952904        -2070848.978      -217845982.487        -4513645.183
      2458269.052904        -1853622.663      -217829890.310        -4518638.671
      2458269.152904        -1636394.581      -217813589.502        -4523627.831
      2458269.252904        -1419164.939      -217797080.028        -4528612.657
      2458269.352904        -1201933.946      -217780361.852        -4533593.143
      2458269.452904         -984701.809      -217763434.938        -4538569.283
      2458269.552904         -767468.736      -217746299.252        -4543541.071
      2458269.652904         -550234.936      -217728954.758        -4548508.502
      2458269.752904         -333000.616      -217711401.421        -4553471.570
      2458269.852904         -115765.985      -217693639.207        -4558430.268
      2458269.952904          101468.749      -217675668.081        -4563384.592
      2458270.052904          318703.377      -217657488.009        -4568334.534
      2458270.152904          535937.691      -217639098.957        -4573280.090
      2458270.252904          753171.482      -217620500.891        -4578221.254
      2458270.352904          970404.541      -217601693.779        -4583158.019
      2458270.452904         1187636.659      -217582677.585        -4588090.380
      2458270.552904         1404867.628      -217563452.278        -4593018.331
      2458270.652904         1622097.238      -217544017.824        -4597941.867
      2458270.752904         1839325.280      -217524374.190        -4602860.980
      2458270.852904         2056551.545      -217504521.345        -4607775.667
      2458270.952904         2273775.823      -217484459.256        -4612685.920
      2458271.052904         2490997.905      -217464187.890        -4617591.734
      2458271.152904         2708217.581      -217443707.217        -4622493.103
      2458271.252904         2925434.641      -217423017.203        -4627390.021
      2458271.352904         3142648.877      -217402117.819        -4632282.483
      2458271.452904         3359860.077      -217381009.033        -4637170.483
      2458271.552904         3577068.031      -217359690.813        -4642054.015
      2458271.652904         3794272.531      -217338163.129        -4646933.073
      2458271.752904         4011473.365      -217316425.952        -4651807.651
      2458271.852904         4228670.323      -217294479.249        -4656677.743
      2458271.952904         4445863.195      -217272322.991        -4661543.345
      2458272.052904         4663051.770      -217249957.149        -4666404.449
      2458272.152904         4880235.838      -217227381.693        -4671261.051
      2458272.252904         5097415.188      -217204596.593        -4676113.144
      2458272.352904         5314589.609      -217181601.820        -4680960.722
      2458272.452904         5531758.890      -217158397.345        -4685803.781
      2458272.552904         5748922.821      -217134983.139        -4690642.313
      2458272.652904         5966081.189      -217111359.174        -4695476.314
      2458272.752904         6183233.785      -217087525.422        -4700305.777
      2458272.852904         6400380.397      -217063481.854        -4705130.696
      2458272.952904         6617520.813      -217039228.442        -4709951.067
      2458273.052904         6834654.822      -217014765.159        -4714766.883
      2458273.152904         7051782.212      -216990091.978        -4719578.138
      2458273.252904         7268902.772      -216965208.871        -4724384.827
      2458273.352904         7486016.290      -216940115.811        -4729186.944
      2458273.452904         7703122.554      -216914812.772        -4733984.483
      2458273.552904         7920221.352      -216889299.726        -4738777.439
      2458273.652904         8137312.473      -216863576.648        -4743565.805
      2458273.752904         8354395.703      -216837643.512        -4748349.575
      2458273.852904         8571470.831      -216811500.291        -4753128.745
      2458273.952904         8788537.644      -216785146.960        -4757903.308
      2458274.052904         9005595.931      -216758583.494        -4762673.259
      2458274.152904         9222645.478      -216731809.867        -4767438.592
      2458274.252904         9439686.073      -216704826.055        -4772199.301
      2458274.352904         9656717.503      -216677632.032        -4776955.380
      2458274.452904         9873739.555      -216650227.775        -4781706.824
      2458274.552904        10090752.018      -216622613.258        -4786453.627
      2458274.652904        10307754.676      -216594788.458        -4791195.783
      2458274.752904        10524747.318      -216566753.351        -4795933.287
      2458274.852904        10741729.731      -216538507.913        -4800666.132
      2458274.952904        10958701.700      -216510052.121        -4805394.313
      2458275.052904        11175663.014      -216481385.953        -4810117.825
      2458275.152904        11392613.458      -216452509.383        -4814836.661
      2458275.252904        11609552.818      -216423422.391        -4819550.816
      2458275.352904        11826480.882      -216394124.954        -4824260.285
      2458275.452904        12043397.435      -216364617.049        -4828965.060
      2458275.552904        12260302.264      -216334898.655        -4833665.138
      2458275.652904        12477195.155      -216304969.749        -4838360.511
      2458275.752904        12694075.893      -216274830.310        -4843051.175
      2458275.852904        12910944.266      -216244480.317        -4847737.124
      2458275.952904        13127800.058      -216213919.748        -4852418.351
      2458276.052904        13344643.056      -216183148.583        -4857094.852
      2458276.152904        13561473.044      -216152166.801        -4861766.620
      2458276.252904        13778289.810      -216120974.382        -4866433.650
      2458276.352904        13995093.137      -216089571.305        -4871095.936
      2458276.452904        14211882.813      -216057957.551        -4875753.473
      2458276.552904        14428658.621      -216026133.099        -4880406.254
      2458276.652904        14645420.347      -215994097.931        -4885054.275
      2458276.752904        14862167.777      -215961852.027        -4889697.529
      2458276.852904        15078900.695      -215929395.367        -4894336.011
      2458276.952904        15295618.886      -215896727.934        -4898969.715
      2458277.052904        15512322.135      -215863849.708        -4903598.636
      2458277.152904        15729010.228      -215830760.672        -4908222.767
      2458277.252904        15945682.949      -215797460.807        -4912842.104
      2458277.352904        16162340.081      -215763950.095        -4917456.639
      2458277.452904        16378981.411      -215730228.518        -4922066.369
      2458277.552904        16595606.722      -215696296.060        -4926671.287
      2458277.652904        16812215.799      -215662152.702        -4931271.387
      2458277.752904        17028808.426      -215627798.429        -4935866.665
      2458277.852904        17245384.388      -215593233.223        -4940457.113
      2458277.952904        17461943.468      -215558457.068        -4945042.727
      2458278.052904        17678485.450      -215523469.948        -4949623.501
      2458278.152904        17895010.119      -215488271.846        -4954199.429
      2458278.252904        18111517.258      -215452862.747        -4958770.506
      2458278.352904        18328006.651      -215417242.635        -4963336.726
      2458278.452904        18544478.082      -215381411.496        -4967898.083
      2458278.552904        18760931.334      -215345369.313        -4972454.572
      2458278.652904        18977366.192      -215309116.072        -4977006.187
      2458278.752904        19193782.437      -215272651.759        -4981552.923
      2458278.852904        19410179.855      -215235976.359        -4986094.774
      2458278.952904        19626558.228      -215199089.858        -4990631.734
      2458279.052904        19842917.339      -215161992.242        -4995163.797
      2458279.152904        20059256.972      -215124683.497        -4999690.959
      2458279.252904        20275576.909      -215087163.611        -5004213.213
      2458279.352904        20491876.934      -215049432.569        -5008730.554
      2458279.452904        20708156.829      -215011490.359        -5013242.977
      2458279.552904        20924416.378      -214973336.969        -5017750.475
      2458279.652904        21140655.363      -214934972.385        -5022253.043
      2458279.752904        21356873.566      -214896396.596        -5026750.675
      2458279.852904        21573070.770      -214857609.589        -5031243.367
      2458279.952904        21789246.759      -214818611.353        -5035731.112
      2458280.052904        22005401.313      -214779401.876        -5040213.904
      2458280.152904        22221534.216      -214739981.147        -5044691.739
      2458280.252904        22437645.250      -214700349.155        -5049164.610
      2458280.352904        22653734.197      -214660505.889        -5053632.513
      2458280.452904        22869800.839      -214620451.339        -5058095.441
      2458280.552904        23085844.958      -214580185.494        -5062553.388
      2458280.652904        23301866.337      -214539708.344        -5067006.350
      2458280.752904        23517864.756      -214499019.879        -5071454.321
      2458280.852904        23733839.998      -214458120.090        -5075897.295
      2458280.952904        23949791.845      -214417008.968        -5080335.267
      2458281.052904        24165720.078      -214375686.503        -5084768.231
      2458281.152904        24381624.479      -214334152.686        -5089196.181
      2458281.252904        24597504.829      -214292407.509        -5093619.113
      2458281.352904        24813360.910      -214250450.963        -5098037.020
