CMBODY             =                            3
CMBODY_RADIUS      =                     6378.137  KM
GRAPH CBF          =                            F
   JULIAN DATE (day)              X (km)              Y (km)              Z (km)
      2458274.352904       -42054363.291      -145825944.040            6546.828
      2458274.452904       -41811247.911      -145898097.662            6557.701
      2458274.552904       -41568012.229      -145969839.172            6568.495
      2458274.652904       -41324656.908      -146041168.349            6579.209
      2458274.752904       -41081182.615      -146112084.971            6589.836
      2458274.852904       -40837590.016      -146182588.818            6600.374
      2458274.952904       -40593879.778      -146252679.667            6610.818
      2458275.052904       -40350052.570      -146322357.299            6621.164
      2458275.152904       -40106109.061      -146391621.495            6631.407
      2458275.252904       -39862049.920      -146460472.036            6641.545
      2458275.352904       -39617875.820      -146528908.703            6651.572
      2458275.452904       -39373587.430      -146596931.277            6661.485
      2458275.552904       -39129185.426      -146664539.542            6671.280
      2458275.652904       -38884670.479      -146731733.281            6680.953
      2458275.752904       -38640043.266      -146798512.276            6690.499
      2458275.852904       -38395304.461      -146864876.313            6699.915
      2458275.952904       -38150454.742      -146930825.176            6709.196
      2458276.052904       -37905494.786      -146996358.650            6718.340
      2458276.152904       -37660425.272      -147061476.522            6727.342
      2458276.252904       -37415246.880      -147126178.577            6736.197
      2458276.352904       -37169960.290      -147190464.602            6744.903
      2458276.452904       -36924566.185      -147254334.385            6753.456
      2458276.552904       -36679065.247      -147317787.715            6761.851
      2458276.652904       -36433458.161      -147380824.379            6770.085
      2458276.752904       -36187745.611      -147443444.167            6778.154
      2458276.852904       -35941928.285      -147505646.869            6786.054
      2458276.952904       -35696006.869      -147567432.276            6793.783
      2458277.052904       -35449982.052      -147628800.179            6801.336
      2458277.152904       -35203854.524      -147689750.369            6808.709
      2458277.252904       -34957624.976      -147750282.640            6815.900
      2458277.352904       -34711294.100      -147810396.783            6822.905
      2458277.452904       -34464862.591      -147870092.593            6829.719
      2458277.552904       -34218331.141      -147929369.865            6836.341
      2458277.652904       -33971700.448      -147988228.393            6842.767
      2458277.752904       -33724971.210      -148046667.973            6848.993
      2458277.852904       -33478144.123      -148104688.403            6855.016
      2458277.952904       -33231219.890      -148162289.478            6860.833
      2458278.052904       -32984199.210      -148219470.998            6866.441
      2458278.152904       -32737082.787      -148276232.762            6871.838
      2458278.252904       -32489871.326      -148332574.568            6877.019
      2458278.352904       -32242565.530      -148388496.218            6881.983
      2458278.452904       -31995166.109      -148443997.513            6886.726
      2458278.552904       -31747673.770      -148499078.254            6891.246
      2458278.652904       -31500089.224      -148553738.247            6895.540
      2458278.752904       -31252413.181      -148607977.293            6899.606
      2458278.852904       -31004646.356      -148661795.199            6903.441
      2458278.952904       -30756789.463      -148715191.771            6907.042
      2458279.052904       -30508843.218      -148768166.815            6910.409
      2458279.152904       -30260808.339      -148820720.139            6913.537
      2458279.252904       -30012685.546      -148872851.554            6916.426
      2458279.352904       -29764475.560      -148924560.868            6919.074
      2458279.452904       -29516179.103      -148975847.894            6921.478
      2458279.552904       -29267796.901      -149026712.444            6923.637
      2458279.652904       -29019329.679      -149077154.333            6925.549
      2458279.752904       -28770778.165      -149127173.375            6927.213
      2458279.852904       -28522143.090      -149176769.386            6928.627
      2458279.952904       -28273425.184      -149225942.186            6929.791
      2458280.052904       -28024625.181      -149274691.592            6930.702
      2458280.152904       -27775743.815      -149323017.427            6931.361
