0.0 	2.80
1.0 	2.92
2.0	13.05
3.0	13.22
4.0	13.45
5.0	13.75
6.0	14.10
7.0	14.35
8.0	14.53
9.0 	14.68
10.0	14.73
11.0	14.63
12.0	14.41
13.0	14.11
14.0	13.66
15.0	12.98
16.0	12.23
17.0	11.35
18.0	10.19
19.0	8.59
20.0	6.40
21.0	3.51
22.0	0.05
23.0	-3.79
24.0	-7.77
25.0	-10.52
26.0	-8.62
27.0 	-5.76
28.0	-3.29
29.0	-1.42
30.0	-0.32
31.0	-0.08
32.0	-0.32
33.0	-0.65
34.0	-1.09
35.0	-1.77
36.0	-2.76
37.0	-3.98
38.0	-5.30
39.0	-6.58
40.0	-7.70
41.0	-8.55
42.0	-9.13
43.0	-9.46
44.0	-9.57
45.0	-9.47
46.0	-9.19
47.0	-8.79
48.0	-8.32
49.0	-7.84
50.0	-7.40
51.0	-7.05
52.0	-6.81
53.0	-6.66
54.0	-6.61
55.0	-6.65
56.0	-6.78
57.0	-7.02
58.0	-7.36
59.0	-7.82
60.0	-8.40
61.0	-9.12
62.0	-9.98
63.0	-11.00
64.0	-12.17
65.0	-13.52
