# SPICE DE405 data for MERCURY BARYCENTER from SOLAR SYSTEM BARYCENTER 
# For the period 2000-1-1-12:00:00 to 2009-12-25-12:00:00
# 7 items per row: time (TT, mjd), XYZ position (m), XYZ velocity (m/s)
# For use with JAT: jat.eph.unittest.DE405Test.readTargetPosVels().
# NOTE: The majority of the JAT-SPICE DE405 differences in this data
#       are due to an unexplained -80 microsec (-8.046852e-5 sec) time difference
#       between JAT and SPICE.  When this difference is artifically compensated for,
#       the position results millimeters or less (at numerical limits) for all bodies.
5.1544500000000000e+004 -2.0529325063213448e+010 -6.0323956690443954e+010 -3.0130844488333359e+010 3.7004304399381166e+004 -8.5413759868729630e+003 -8.3983731283678189e+003
5.1548500000000000e+004 -7.3879255989717731e+009 -6.1861640725888237e+010 -3.2314483672321125e+010 3.8750864614940700e+004 -3.1551532909011098e+002 -4.1855763495061055e+003
5.1552500000000000e+004 6.0475058596972733e+009 -6.0521638998384834e+010 -3.2991468647082985e+010 3.8691384029609180e+004 8.0869625015350211e+003 3.0887420201347840e+002
5.1556500000000000e+004 1.9133317282914185e+010 -5.6270310536506386e+010 -3.2077074003056313e+010 3.6700012811049884e+004 1.6501583521874229e+004 5.0101751508787484e+003
5.1560500000000000e+004 3.1168559342006596e+010 -4.9139751235967865e+010 -2.9515745938449100e+010 3.2570655449271719e+004 2.4703870492446633e+004 9.8197942706555605e+003
5.1564500000000000e+004 4.1367650485097488e+010 -3.9258531097320358e+010 -2.5294685904371670e+010 2.6022150311429643e+004 3.2347751805072967e+004 1.4582033673098291e+004
5.1568500000000000e+004 4.8839301383709084e+010 -2.6908158977513046e+010 -1.9471826088288273e+010 1.6734500250714114e+004 3.8876798177950950e+004 1.9032858226603232e+004
5.1575500000000000e+004 5.2338737964024323e+010 -1.1467443846079390e+009 -6.0728190519682865e+009 -6.6540742110106285e+003 4.4720770345989935e+004 2.4580203381347244e+004
5.1579500000000000e+004 4.7196555223645515e+010 1.4059120758845341e+010 2.5835649624080305e+009 -2.3349225558476002e+004 4.2376188467627515e+004 2.5059335572096956e+004
5.1583500000000000e+004 3.6183953389772369e+010 2.7439701296779732e+010 1.0873795402056416e+010 -4.0118742177032625e+004 3.3962632266027278e+004 2.2304366351406650e+004
5.1587500000000000e+004 1.9894973235729931e+010 3.6798798924691742e+010 1.7563136798355850e+010 -5.3153833782028727e+004 1.9263807233862186e+004 1.5804735026662109e+004
5.1591500000000000e+004 3.4645166152521038e+008 4.0302646960718460e+010 2.1462887080433636e+010 -5.8452017486658850e+004 7.1943002783485520e+002 6.4485318727999565e+003
5.1595500000000000e+004 -1.9441371133607037e+010 3.7371797283573631e+010 2.1950286316010220e+010 -5.4633629207046819e+004 -1.7198151383838922e+004 -3.5183762553735587e+003
5.1599500000000000e+004 -3.6610557944282890e+010 2.8929206569171837e+010 1.9221934798339500e+010 -4.3867903739083180e+004 -3.0748988847604702e+004 -1.1873272427089225e+004
5.1604500000000000e+004 -5.1798293901326149e+010 1.3380859967645098e+010 1.2492623915886625e+010 -2.6108191717511116e+004 -3.9822406477472243e+004 -1.8561876556166546e+004
5.1608500000000000e+004 -5.8318663017567795e+010 -8.1871323356433773e+008 5.5846806344222450e+009 -1.1782597305598669e+004 -4.1670098506434108e+004 -2.1034608145896349e+004
5.1612500000000000e+004 -6.0107366845304863e+010 -1.5023704399821241e+010 -1.8168967609881759e+009 1.1381420523995341e+003 -4.0056867342728285e+004 -2.1512943436143509e+004
5.1616500000000000e+004 -5.7752463768236374e+010 -2.8232833865393795e+010 -9.1162729183112602e+009 1.2157673312213348e+004 -3.6061684412234536e+004 -2.0521748749522234e+004
5.1620500000000000e+004 -5.1934166521084488e+010 -3.9765874651673798e+010 -1.5879548825787001e+010 2.1183759601940299e+004 -3.0463643424537131e+004 -1.8467619901655911e+004
5.1624500000000000e+004 -4.3332752792756958e+010 -4.9165814489610153e+010 -2.1792051520415066e+010 2.8279164920891017e+004 -2.3787770443115849e+004 -1.5637515357562899e+004
5.1628500000000000e+004 -3.2599135067282040e+010 -5.6124217678381439e+010 -2.6621517588451817e+010 3.3537405539271858e+004 -1.6381091694624711e+004 -1.2226502342193384e+004
5.1635500000000000e+004 -1.0546964030163326e+010 -6.1835369216113747e+010 -3.1958135573930363e+010 3.8491532822179841e+004 -2.3294332104606283e+003 -5.2344529411133444e+003
5.1639500000000000e+004 2.8751411111479325e+009 -6.1197473535740616e+010 -3.3008781376902317e+010 3.8878272415626750e+004 6.0440840658522820e+003 -8.0174877262370649e+002
5.1643500000000000e+004 1.6107802303265043e+010 -5.7651112715282646e+010 -3.2486187752976475e+010 3.7370882185089984e+004 1.4473222636616241e+004 3.8571137678659766e+003
5.1647500000000000e+004 2.8466511791186989e+010 -5.1210412541415077e+010 -3.0326907205847607e+010 3.3782829087000064e+004 2.2752879160502667e+004 8.6519222571676783e+003
5.1651500000000000e+004 3.9188547607861450e+010 -4.1976514781047684e+010 -2.6505860999593853e+010 2.7849517567953884e+004 3.0573413654384742e+004 1.3444720916944780e+004
5.1655500000000000e+004 4.7409323347141861e+010 -3.0186919704473019e+010 -2.1060243213096962e+010 1.9253927080725520e+004 3.7439218875109778e+004 1.8003654481361005e+004
5.1659500000000000e+004 5.2157002491282295e+010 -1.6298236852509611e+010 -1.4133164508678705e+010 7.7161185905839229e+003 4.2557344994685089e+004 2.1934192616263015e+004
5.1665500000000000e+004 5.0530307346130943e+010 6.5919655621497850e+009 -1.7363700473997774e+009 -1.4944805107953316e+004 4.4207283424415844e+004 2.5165775628863084e+004
